Brendin Kaspar,78.33
Laryssa Pickton,48.41
Griff Sargent,44.16
Thekla Parish,89.89
Jillayne Medgewick,28.22
Nettle Fellows,25.96
Bobbi Oakly,12.92
Marietta Oade,91.95
Marylinda Ziems,80.1
Robena Briand,97.71
Kira Weitzel,42.95
Cyril Storry,1.88
Carey Grewes,45.85
Josh Tebbit,38.29
Gaylor Croall,79.12
Emelen Hurdle,36.15
Erroll Falkner,6.52
Maurene Nehlsen,95.11
Agnola Beefon,61.5
Sorcha Dunaway,4.83
Ugo Aberhart,58.44
Oliviero Wansbury,5.52
Vina Fuzzens,51.68
Charmion Stonebanks,17.23
Myrilla Faber,28.72
