Brendin Kaspar,78.33
Laryssa Pickton,48.41
Griff Sargent,44.16
Thekla Parish,89.89
Jillayne Medgewick,28.22
Nettle Fellows,25.96
Bobbi Oakly,12.92
Marietta Oade,91.95
Marylinda Ziems,80.1
Robena Briand,97.71
Kira Weitzel,42.95
Cyril Storry,1.88
Carey Grewes,45.85
Josh Tebbit,38.29
Gaylor Croall,79.12
Emelen Hurdle,36.15
Erroll Falkner,6.52
Maurene Nehlsen,95.11
Agnola Beefon,61.5
Sorcha Dunaway,4.83
Ugo Aberhart,58.44
Oliviero Wansbury,5.52
Vina Fuzzens,51.68
Charmion Stonebanks,17.23
Myrilla Faber,28.72
Glori Fabri,38.16
Dacy Moreside,45.63
Halli Hearst,79.73
Jess Deverall,56.76
Junie Antley,57.03
Kilian Cartner,92.05
Ladonna Burke,92.57
Geoffrey Elldred,64.88
Lucas O'Dunneen,93.83
Corly Gutierrez,27.78
Imogen Gabbetis,23.21
Fancy Strick,50.7
Lucien Suart,53.95
Cecilio Vannar,49.79
Kalil Dosdale,70.28
Karia Pucknell,79.05
Clemmy Grantham,57.07
Merill Henniger,82.42
Wallie Andrzejak,15.98
Shayna Schaumann,60.56
Basilio Wilds,42.54
Evania Byrom,81.47
Marigold Jirusek,70.93
Arron Attac,45.49
Cirstoforo Aizikov,53.02
Boycey Greim,47.41
Raimundo Agutter,53.84
Tailor Canaan,50.74
Orazio Reeman,17.33
Anitra Triggol,44.96
Marylynne Edmans,10.59
Teodorico Sickert,3.21
Celestyn Gaucher,4.65
Wandis Wilsone,42.9
Lonnie Macauley,9.63
Annalise Standrin,48.12
Hale Bodimeade,26.56
Anthiathia Verbruggen,64.6
Fitz Lakes,96.49
Elinore Marsden,3.17
Buckie Oats,41.15
Malanie Gare,88.11
Talia Quimby,61.52
Chadd Coning,50.24
Abigale Lipscomb,86.81
Hildegaard Fownes,14.79
Wilma Cowdrey,76.3
Arlinda Tincknell,64.76
Laureen Arblaster,57.41
Clemens Anster,57.22
Daren Dangerfield,27.44
Gilligan Sambrook,24.87
Eveleen Antoszczyk,46.29
Wilona Dowda,6.16
Dreddy Garfirth,10.63
Mariana Heaford,47.86
Esmeralda Sokill,64.96
Elmore Mathers,3.24
Deva Rathborne,61.1
Homere Matysik,43.37
Barron Gibb,56.76
Quent Bakeup,45.61
Ulberto O' Culligan,18.1
Larry Huntall,93.82
Hetti Kahan,4.03
Arlinda Duffield,45.76
Francisca Quakley,95.27
Nannie Brauninger,85.92
Jabez Copestick,37.14
Margarita Mohun,74.82
George Bovaird,32.54
Geneva Castelyn,81.05
Gav Langhorn,39.49
Lorrayne Empringham,88.32
Mychal Willers,36.24
Marcellina Madoc-Jones,35.24
Anthia Huff,31.38
Iorgo Hardson,78.02
Marie Willimot,24.13
Winny Kondratyuk,33.52
Karrie Castagnaro,6.49
Gusty Dewan,78.91
Myrle Brigham,50.15
Josephine Saich,19.28
Tyrus Sedman,76.83
Madelle Dell Casa,7.72
Franny Goldfinch,93.02
Nicolai Fould,87.85
Jeffy Rarity,13.26
Yetta Belasco,31.72
Elspeth Burburough,64.07
Whitney Lyvon,70.51
Ilyssa Celiz,29.53
Neil Sille,44.16
Rachael Vorley,17.42
Dedie Backsal,87.52
Mischa Davidou,89.33
Merwin Caddie,48.4
Gabe Oldfield,24.78
Cyrus Cissen,89.48
Felisha Van De Cappelle,33.47
Herbie Rakestraw,56.83
Corliss Higounet,19.59
Annabelle Emanson,59.9
Eula Mawson,21.12
Chicky Fontin,86.61
Arnoldo Haddy,11.91
Aleen Nutbean,18.89
Yard Whittall,64.35
Oberon Berkowitz,62.46
Godfree Pinner,67.62
Aura Rysdale,94.83
Zorine Juckes,94.82
Trudie Hunton,8.1
Kirby Ratray,86.0
Marco Fanshaw,93.93
Carlos Espy,35.79
Betty McIlmurray,79.72
Scotti Neilson,14.16
Jilli Abbet,91.55
Brande Foch,33.98
Evangeline Borwick,43.71
Darn Giacovazzo,7.84
Grange Andrusov,69.86
Cordi Fessler,50.49
Pedro Swindells,75.42
Roshelle Chaloner,27.28
Marcella Davydoch,71.2
Anestassia Angood,85.03
Pierce Petroulis,82.63
Georgena Slimings,26.42
Nessa Haszard,4.21
Denys McGavigan,79.88
Calida Garbutt,57.67
Nicolis Everett,79.18
Archibaldo Coners,9.68
Innis Hedges,81.68
Kacey Ewen,12.67
Alfie McVeagh,92.76
Sallyann Kabos,3.98
Roanna Beardwell,61.99
Dinnie Toohey,68.93
Henka Fanti,20.17
Omar Lodwig,50.85
Hersch Meritt,13.08
Vasili Bog,29.49
Nikolas Drewery,6.14
Richy Robbel,37.46
Chauncey Accombe,34.18
Bobby Scroggs,57.03
Wren Castleton,54.53
Ellery Leed,74.3
Chicky Ormistone,62.83
Bobbe Fountaine,52.13
